country,year,cic,gdp,cd,bank_rate,tax_gdp_2,debt_gdp
United Kingdom ,1974,4552000000.00,92227000000.00,0.05,11.5,32.74637579,53.24335607
United Kingdom ,1975,5306000000.00,114541000000.00,0.05,11.25,33.58273457,53.76131691
United Kingdom ,1976,5981000000.00,136172000000.00,0.04,14.25,33.00237934,52.40871839
United Kingdom ,1977,6694000000.00,158786000000.00,0.04,7,32.09791795,49.15389266
United Kingdom ,1978,7652000000.00,184891000000.00,0.04,12.5,30.49850993,46.69724324
United Kingdom ,1979,8843000000.00,219559000000.00,0.04,17,30.60179724,43.63075529
United Kingdom ,1980,9651000000.00,258411000000.00,0.04,14,32.34266343,42.53853358
United Kingdom ,1981,10160000000.00,287850000000.00,0.04,14.375,33.18221296,42.50755602
United Kingdom ,1982,10570000000.00,316698000000.00,0.03,10,33.80349734,41.27252146
United Kingdom ,1983,10910000000.00,348283000000.00,0.03,9.0625,33.21637863,40.43823557
United Kingdom ,1984,11400000000.00,374534000000.00,0.03,9.5,33.40123994,41.02798411
United Kingdom ,1985,11976000000.00,412120000000.00,0.03,11.375,33.15490634,39.09110211
United Kingdom ,1986,11962000000.00,444033000000.00,0.03,10.875,32.15864587,37.48161736
United Kingdom ,1987,12503000000.00,492635000000.00,0.03,8.375,31.1886082,33.99555452
United Kingdom ,1988,13253000000.00,551709000000.00,0.02,12.875,30.71655529,28.48140958
United Kingdom ,1989,14140000000.00,609474000000.00,0.02,14.875,30.43919839,25.00094344
United Kingdom ,1990,14951000000.00,662850000000.00,0.02,13.875,31.11518443,22.82066078
United Kingdom ,1991,15266000000.00,698038000000.00,0.02,10.375,31.58982749,23.21854254
United Kingdom ,1992,15436000000.00,721445000000.00,0.02,6.875,30.91656329,26.73114375
United Kingdom ,1993,16163000000.00,758445000000.00,0.02,5.375,29.73452261,30.97126357
United Kingdom ,1994,17096000000.00,797088000000.00,0.02,6.125,30.36339777,34.92713477
United Kingdom ,1995,18062000000.00,836646000000.00,0.02,6.375,31.23626958,37.48299759
United Kingdom ,1996,19405000000.00,892900000000.00,0.02,5.9375,30.7375966,38.29096203
United Kingdom ,1997,20578000000.00,938855000000.00,0.02,7.25,31.35745136,38.77063018
United Kingdom ,1998,22026000000.00,980308000000.00,0.02,6.25,32.62454249,36.84556282
United Kingdom ,1999,23098000000.00,1021205000000.00,0.02,5.5,33.17355477,35.68333488
United Kingdom ,2000,24918000000.00,1080863000000.00,0.02,6,33.7608004,30.3646253
United Kingdom ,2001,26983000000.00,1120575000000.00,0.02,4,33.40017402,29.34207884
United Kingdom ,2002,29046000000.00,1172652000000.00,0.02,4,32.20222197,30.59731276
United Kingdom ,2003,31033000000.00,1242449000000.00,0.02,3.75,32.1176161,31.40571565
United Kingdom ,2004,33013000000.00,1304874000000.00,0.03,4.75,32.96318265,34.38646183
United Kingdom ,2005,35021000000.00,1379457000000.00,0.03,4.5,33.31470281,35.68070625
United Kingdom ,2006,36793000000.00,1455644000000.00,0.03,5,33.47178294,36.22451643
United Kingdom ,2007,38214000000.00,1530890000000.00,0.02,5.5,33.5723664,36.74333231
United Kingdom ,2008,40933000000.00,1564252000000.00,0.03,2,33.20871573,46.87863592
United Kingdom ,2009,44494000000.00,1519459000000.00,0.03,0.5,32.17625484,61.79172982
United Kingdom ,2010,49486000000.00,1572439000000.00,0.03,0.5,33.30959102,72.30169183
United Kingdom ,2011,51542000000.00,1628274000000.00,0.03,0.5,34.01344,76.19724936
United Kingdom ,2012,54568000000.00,1675044000000.00,0.03,0.5,33.50419452,80.57698783
United Kingdom ,2013,57242000000.00,1739563000000.00,0.03,0.5,34.24549729,83.58421052
United Kingdom ,2014,59391000000.00,1822480000000.00,0.03,0.5,33.26555024,85.37816602
United Kingdom ,2015,64639000000.00,1872714000000.00,0.03,0.5,33.59220895,85.99818232
United Kingdom ,2016,69776000000.00,1939637000000.00,0.04,0.25,34.21109208,87.73806645
Swizerland,1915,409900000.00,4731812485.00,0.09,4.5,,
Swizerland,1916,430300000.00,5923135681.00,0.07,4.5,,
Swizerland,1917,535800000.00,7171560685.00,0.07,4.5,,
Swizerland,1918,733100000.00,8669576190.00,0.08,4.75,,
Swizerland,1919,905800000.00,8841056339.00,0.10,5.32,,
Swizerland,1920,933800000.00,10031939810.00,0.09,5,,
Swizerland,1921,925100000.00,7469795357.00,0.12,4.44,,
Swizerland,1922,817600000.00,6976190691.00,0.12,3.39,,
Swizerland,1923,875000000.00,7571536597.00,0.12,3.47,,
