,country,year,cic,country_code,gdp,cd,log_cd,log_cic,interest_rates_imf,country_code.y,tax_gdp,uncertainty,eci,eci_2
69,Bangladesh,2004,1.83E+11,BGD,3.83E+12,0.047733681,-3.04211802,25.9317679,5,BGD,7.046448418,0.03839575,-1.23386,-0.893082
70,Belarus,2004,155340000,BLR,4999180000,0.031073096,-3.471412915,18.86112682,17,BLR,18.3713469,0.01654205,0.832963,0.820173
71,Brazil,2004,6.19E+10,BRA,1.96E+12,0.0316,-3.454598158,24.84936743,17.75,BRA,15.75277073,0.2683731,0.399357,0.509742
72,Canada,2004,44240545000,CAN,1.33E+12,0.033263568,-3.403292545,24.51290751,2.5,CAN,13.39031039,0.1581404,0.862716,1.07845
73,Chile,2004,2.14E+12,CHL,6.05E+13,0.035427636,-3.340263075,28.39340141,2.25,CHL,16.40223152,0.1058834,-0.150324,-0.173677
74,Cote d'Ivoire,2004,7.28493E+11,CIV,8.75E+12,0.083256322,-2.485831217,27.3142436,3,CIV,14.19479364,0.369475825,-1.27946,-1.51885
75,Denmark,2004,5.20E+10,DNK,1.51E+12,0.034462914,-3.367871492,24.67525927,2,DNK,31.29221449,0.080090425,1.50872,1.23323
76,Dominican Republic,2004,40678542000,DOM,9.36E+11,0.043459981,-3.135914747,24.42896657,7,DOM,12.52188432,0.05775005,-0.300896,-0.184007
77,Ghana,2004,767390000,GHA,7988791000,0.09605834,-2.342799566,20.4585057,18.5,GHA,21.75210552,0.07666835,-1.35863,-1.98289
78,Israel,2004,20778535367,ISR,6.07E+11,0.034231524,-3.374608291,23.75718634,3.9,ISR,24.86527295,0.175509025,1.1044,1.01641
79,Jamaica,2004,32398103000,JAM,6.23E+11,0.052003376,-2.956446647,24.20136571,14.4,JAM,24.16749731,0.129916925,-0.294213,-0.892832
80,Moldova,2004,4094326251,MDA,32031777000,0.127820765,-2.057126267,22.13286801,14.5,MDA,16.35750648,0.10654365,-0.019115,0.160901
81,New Zealand,2004,3578538224,NZL,1.55E+11,0.023087343,-3.768470717,21.99822024,6.5,NZL,29.25793128,0.0188608,0.287348,0.39197
82,Philippines,2004,3.22466E+11,PHL,5.12E+12,0.062981556,-2.764913363,26.49926219,6.8243,PHL,11.81598762,0.48432195,-0.0344,0.690883
83,South Africa,2004,48830480000,ZAF,1.48E+12,0.032993568,-3.411442659,24.61162054,7.5,ZAF,24.28209502,0.103162825,0.094685,0.589703
84,Sweden,2004,1.09E+11,SWE,2.81E+12,0.038752313,-3.25056483,25.41364077,2,SWE,27.19022163,0.143478925,2.08697,1.37553
85,Switzerland,2004,36292600000,CHE,4.90E+11,0.074066531,-2.602791527,24.3148797,1.25,CHE,9.223924063,0.163184225,2.05783,1.4627
86,Thailand,2004,7.14649E+11,THA,6.95E+12,0.102827185,-2.274705519,27.29505726,2,THA,14.8533544,0.049516975,0.446709,0.879739
87,Togo,2004,83544100000,TGO,1.19E+12,0.070205126,-2.65633395,25.14864047,3,TGO,13.14635208,0.1502134,-0.758799,-1.2441
88,United Kingdom,2004,3.26E+10,GBR,1.31E+12,0.024847328,-3.695005048,24.20604321,4.75,GBR,25.18436932,0.1590172,1.89629,1.31729
89,United States,2004,7.23E+11,USA,1.22E+13,0.059254426,-2.825914797,27.30654227,2.25,USA,9.539265084,0.08925915,1.76594,1.30481
90,Argentina,2005,4.83E+10,ARG,5.83E+11,0.082910806,-2.489989873,24.60146315,5,ARG,13.10317565,0.1467231,0.03593,0.215548
91,Australia,2005,3.70E+10,AUS,9.22E+11,0.040131236,-3.215600284,24.33421078,5.5,AUS,24.84119731,0.079109825,-0.213502,0.30518
92,Bangladesh,2005,2.20E+11,BGD,4.27E+12,0.051471663,-2.96672386,26.11591108,5,BGD,7.135670039,0.2349034,-1.17652,-0.858426
93,Belarus,2005,236831660,BLR,6506710000,0.036398066,-3.313239638,19.28286015,11,BLR,20.14965628,0,0.858138,0.824674
94,Brazil,2005,7.00E+10,BRA,2.17E+12,0.032273272,-3.433515887,24.9722324,18,BRA,16.5289705,0.253420525,0.450112,0.537681
95,Bulgaria,2005,5867210000,BGR,4.67E+10,0.125768151,-2.073315141,22.49264506,2.049,BGR,20.46719041,0.183458,0.34386,0.428984
96,Canada,2005,46077890000,CAN,1.42E+12,0.032449218,-3.428078925,24.55359906,3.25,CAN,13.34214991,0.101034525,0.848054,0.991897
97,Chile,2005,2.46632E+12,CHL,6.88E+13,0.035847663,-3.32847691,28.53374795,4.5,CHL,18.02512363,0.044311625,-0.150391,-0.193413
