"","country","year","cic","country_code","gdp","cd","log_cd","log_cic","interest_rates_wdi","tax_gdp","uncertainty","eci","eci_2"
"95","Costa Rica",2003,275367104613.25,"CRI",6.86e+12,0.0401409773488703,-3.21535758740837,26.341370970258,10.4097222222222,13.64479512,0.0896559,0.010613,0.102305
"96","Croatia",2003,12256309175.77,"HRV",2.32e+11,0.0528289188610776,-2.94069653250372,23.229306676109,1.52666666666667,21.65442091,0.03375185,0.645311,0.719218
"97","Czech Republic",2003,2.47362e+11,"CZE",2.81e+12,0.0880291814946619,-2.43008691157979,26.2341186876944,1.33333333333333,15.05549779,0.3015303,1.55938,1.2037
"98","Dominican Republic",2003,37579500000,"DOM",6.29e+11,0.0597448330683625,-2.81767256775307,24.3497245258938,20.4975,11.74514298,0.11226965,-0.469881,-0.290072
"99","Georgia",2003,473242044,"GEO",8564100000,0.0552588180894665,-2.89572734789029,19.9751175365019,8.82981612950001,7.032846417,0.1099182,0.178932,0.285778
"100","Ghana",2003,667970000,"GHA",6615770000,0.100966327426739,-2.29296820954274,20.3197538203128,14.3233333333333,18.47768613,0.39492835,-1.24972,-1.85233
"101","Guatemala",2003,11924413928.4,"GTM",1.74e+11,0.0685311145310345,-2.68046741011326,23.2018537260477,4.7825,11.67385578,0.5239305,-0.408678,-0.266741
"102","Honduras",2003,8056131849.27,"HND",1.43e+11,0.0563365863585315,-2.87641110838498,22.8096993588213,11.4838022341175,13.74646578,0.1112038,-0.656674,-0.484676
"103","Hungary",2003,1.466831e+12,"HUN",1.91e+13,0.0767974345549738,-2.56658404361856,28.0141254073626,7.07781802082702,20.61046502,0.0870021,1.11232,1.20857
"104","Indonesia",2003,112742380200000,"IDN",2.01e+15,0.0560907364179104,-2.88078460632878,32.3561265106529,10.59,12.38553206,0.3106343,-0.015577,0.523618
"105","Israel",2003,19131777823,"ISR",5.78e+11,0.0330999616314879,-3.40822315576934,23.6746165498494,6.647125,24.99349852,0.399545325,1.04926,1.04518
"106","Jamaica",2003,29426462000,"JAM",5.45e+11,0.0539935082568807,-2.91889145710973,24.1051601744999,11.7942521111368,24.07110007,0.1349911,-0.538303,-0.861014
"107","Japan",2003,8.13323e+13,"JPN",5.15e+14,0.157926796116505,-1.84562366903739,32.0295643475549,0.0425,8.91896344,0.25416335,2.45075,1.63871
"108","Kuwait",2003,585470100,"KWT",1.4267e+10,0.0410366650311909,-3.19328934284474,20.1879256722344,2.41753333333333,1.324735403,0.077973425,-0.156717,-0.146899
"109","Malaysia",2003,29445210288.22,"MYS",4.19e+11,0.0702749648883532,-2.65533966182178,24.1057970950468,3.06666666666667,15.49565512,0.504689575,0.753853,1.05207
"110","Moldova",2003,2982193418,"MDA",27618918000,0.107976475327527,-2.22584189662578,21.8159249130232,12.5508333333333,14.67291369,0.276776125,0.042335,0.194569
"111","Mongolia",2003,152819693000,"MNG",1.83e+12,0.0835080289617486,-2.48281249651742,25.7525245862645,14.0166666666667,18.03874557,0,-0.681431,-1.08928
"112","Morocco",2003,78505108502.76,"MAR",4.98e+11,0.157640780126024,-1.84743637788539,25.0864295360857,3.77916666666667,18.78977248,0.143249475,-0.76984,-0.329712
"113","Namibia",2003,918895858.4,"NAM",36401291200,0.025243496263671,-3.67918673015458,20.6386833533329,8.755,23.74657245,0.1380393,-0.554921,-0.706606
"114","New Zealand",2003,3417370357.29,"NZL",1.45e+11,0.0235680714295862,-3.74786238847953,21.9521371908875,5.097925,29.24813843,0.12881695,0.25454,0.396993
"115","Nicaragua",2003,2761823222,"NIC",80390359200,0.0343551546414785,-3.37100320922911,21.7391568862646,5.55170709730048,11.7208159,0.240898225,-0.807707,-0.781944
"116","Philippines",2003,294781601459.82,"PHL",4.55e+12,0.0647871651560044,-2.73664776382226,26.4095005850691,5.22066666666667,12.10175226,0.21780665,-0.005396,0.807579
"117","Romania",2003,6517548000,"ROU",1.92e+11,0.0339455625,-3.38299714044227,22.5977640685319,11.0241666666667,17.77476375,0.07035525,0.373828,0.554976
"118","South Africa",2003,44670764000,"ZAF",1.33e+12,0.0335870406015038,-3.39361498279678,24.5225850753654,9.76,23.03754961,0.129454725,0.128366,0.570227
"119","Sri Lanka",2003,98784636000,"LKA",1.82e+12,0.0542772725274725,-2.91364969348222,25.316207923535,6.00333333333333,12.71067585,0.142050325,-0.62927,-0.567675
"120","Sweden",2003,1.0894e+11,"SWE",2.68e+12,0.0406492537313433,-3.20277480154937,25.4140631089019,1.675,26.87988905,0.3285106,2.09665,1.36877
"121","Ukraine",2003,36048139693.74,"UKR",2.67e+11,0.135011759152584,-2.00239339950316,24.3081210958435,6.9766,13.66777031,0.293174925,0.488237,0.538856
"122","Uruguay",2003,12244312805.59,"URY",3.4e+11,0.0360126847223235,-3.32388404919003,23.2283274053666,29.6879341666667,17.2060059,0.13431005,0.096728,0.314249
