"","country","year","cic","country_code","gdp","cd","log_cd","log_cic","interest_rates_imf","country_code.y","tax_gdp","uncertainty","eci","eci_2","overall_score","property_rights","government_integrity","judicial_effectiveness","tax_burden","government_spending","business_freedom","monetary_freedom","trade_freedom","investment_freedom","financial_freedom","region"
"51","Ghana",2003,667970000,"GHA",6615770000,0.100966327426739,-2.29296820954274,20.3197538203128,21.5,"GHA",18.47768613,0.39492835,-1.24972,-1.85233,58.2,50,"34.0","N/A",74.5,77,70,55.8,"62.6","50.0",50,"Sub-Saharan Africa"
"52","Israel",2003,19131777823,"ISR",5.78e+11,0.0330999616314879,-3.40822315576934,23.6746165498494,5.2,"ISR",24.99349852,0.399545325,1.04926,1.04518,62.7,70,"76.0","N/A",52.7,10.9,70,87.3,"77.0","70.0",50,"Middle East and North Africa"
"53","Jamaica",2003,29426462000,"JAM",5.45e+11,0.0539935082568807,-2.91889145710973,24.1051601744999,15,"JAM",24.07110007,0.1349911,-0.538303,-0.861014,67,50,"38.0","N/A",75.6,65.3,70,78,"65.8","90.0",70,"Latin America and The Caribbean"
"54","Moldova",2003,2982193418,"MDA",27618918000,0.107976475327527,-2.22584189662578,21.8159249130232,14,"MDA",14.67291369,0.276776125,0.042335,0.194569,60,50,"31.0","N/A",81.3,78.6,55,63.4,"80.4","50.0",50,"Europe and Central Asia"
"55","New Zealand",2003,3417370357.29,"NZL",1.45e+11,0.0235680714295862,-3.74786238847953,21.9521371908875,5,"NZL",29.24813843,0.12881695,0.25454,0.396993,81.1,90,"94.0","N/A",62.4,53,85,85.3,"80.4","90.0",90,"East Asia and Pacific"
"56","Philippines",2003,294781601459.82,"PHL",4.55e+12,0.0647871651560044,-2.73664776382226,26.4095005850691,6.8621,"PHL",12.10175226,0.21780665,-0.005396,0.807579,61.3,50,"29.0","N/A",77.6,88.6,55,74.5,"77.4","50.0",50,"East Asia and Pacific"
"57","South Africa",2003,44670764000,"ZAF",1.33e+12,0.0335870406015038,-3.39361498279678,24.5225850753654,8,"ZAF",23.03754961,0.129454725,0.128366,0.570227,67.1,50,"48.0","N/A",68,80,70,80.1,"68.0","70.0",70,"Sub-Saharan Africa"
"58","Sweden",2003,1.0894e+11,"SWE",2.68e+12,0.0406492537313433,-3.20277480154937,25.4140631089019,3,"SWE",26.87988905,0.3285106,2.09665,1.36877,70,90,"90.0","N/A",29.8,2.9,70,86.4,"81.4","90.0",90,"Europe and Central Asia"
"59","Switzerland",2003,35765500000,"CHE",4.75e+11,0.0752957894736842,-2.58633106242383,24.3002495785572,0.75,"CHE",9.190743119,0.29583595,2.12764,1.50259,79,90,"84.0","N/A",80.4,55.3,70,88.3,"83.0","70.0",90,"Europe and Central Asia"
"60","Thailand",2003,636505911960.06,"THA",6.32e+12,0.100712960753174,-2.29548078095396,27.1792595431334,1.25,"THA",14.4815711,0.32973755,0.418108,0.865424,65.8,70,"32.0","N/A",75.2,93.1,70,87.3,"64.8","50.0",50,"East Asia and Pacific"
"61","United Kingdom",2003,3.0561e+10,"GBR",1.25e+12,0.0244488,-3.71117414402031,24.1429905232225,3.75,"GBR",24.53438799,0.22036785,1.94824,1.35162,77.5,90,"83.0","N/A",60.9,51,85,85.9,"81.4","70.0",90,"Europe and Central Asia"
"62","United States",2003,6.89757e+11,"USA",1.15e+13,0.0599788695652174,-2.81376295270088,27.2596051985969,1,"USA",9.389746033,0.303085025,1.85046,1.34445,78.2,90,"76.0","N/A",63.5,63.5,85,84.2,"81.4","70.0",90,"North America"
"63","Albania",2004,141644797271,"ALB",7.38e+11,0.191930619608401,-1.65062132846549,25.6765883330814,5.25,"ALB",17.96508682,0,-0.128714,-0.202839,58.5,30,"25.0","N/A",83.6,72.3,55,79.6,"61.4","70.0",50,"Europe and Central Asia"
"64","Argentina",2004,3.7624e+10,"ARG",4.85e+11,0.0775752577319588,-2.55650674629474,24.3509079815892,2.5,"ARG",13.1007799,0.237159075,0.002533,0.212719,53.9,30,"28.0","N/A",72.4,78.8,70,64,"61.6","50.0",30,"Latin America and The Caribbean"
